strain	strain_name	date	country	host	genotype	subgenotype
MT426995	None	2012-02-XX	USA	Homo sapiens	B	None
MT426996	None	2012-02-XX	USA	Homo sapiens	B	None
MT426997	None	2012-02-XX	USA	Homo sapiens	B	None
MT426998	None	2012-02-XX	USA	Homo sapiens	B	None
MT426999	None	2012-02-XX	USA	Homo sapiens	B	None
MT427000	None	2012-02-XX	USA	Homo sapiens	B	None
MT427001	None	2012-02-XX	USA	Homo sapiens	B	None
MT427002	None	2012-02-XX	USA	Homo sapiens	B	None
MT427003	None	2012-02-XX	USA	Homo sapiens	B	None
MT427004	None	2012-02-XX	USA	Homo sapiens	B	None
MT427005	None	2012-02-XX	USA	Homo sapiens	B	None
MT427006	None	2012-02-XX	USA	Homo sapiens	B	None
MT427007	None	2012-02-XX	USA	Homo sapiens	B	None
MT427008	None	2012-02-XX	USA	Homo sapiens	B	None
MT427009	None	2012-02-XX	USA	Homo sapiens	B	None
MT427010	None	2012-02-XX	USA	Homo sapiens	B	None
MT427011	None	2012-02-XX	USA	Homo sapiens	B	None
MT427012	None	2012-02-XX	USA	Homo sapiens	B	None
MT427013	None	2012-02-XX	USA	Homo sapiens	B	None
MT427014	None	2012-02-XX	USA	Homo sapiens	B	None
MT427015	None	2012-02-XX	USA	Homo sapiens	B	None
MT427016	None	2012-02-XX	USA	Homo sapiens	B	None
MT427017	None	2012-02-XX	USA	Homo sapiens	B	None
MT427018	None	2012-02-XX	USA	Homo sapiens	B	None
MT427019	None	2012-02-XX	USA	Homo sapiens	B	None
MT427020	None	2012-02-XX	USA	Homo sapiens	B	None
MT427021	None	2012-02-XX	USA	Homo sapiens	B	None
MT427022	None	2012-02-XX	USA	Homo sapiens	B	None
MT427023	None	2012-02-XX	USA	Homo sapiens	B	None
MT427024	None	2012-02-XX	USA	Homo sapiens	B	None
MT427025	None	2012-02-XX	USA	Homo sapiens	B	None
MT427026	None	2012-02-XX	USA	Homo sapiens	B	None
MT427027	None	2012-02-XX	USA	Homo sapiens	B	None
MT427028	None	2012-02-XX	USA	Homo sapiens	B	None
MT427029	None	2012-02-XX	USA	Homo sapiens	B	None
MT427030	None	2012-02-XX	USA	Homo sapiens	B	None
MT427031	None	2012-02-XX	USA	Homo sapiens	B	None
MT427032	None	2012-02-XX	USA	Homo sapiens	B	None
MT427033	None	2012-02-XX	USA	Homo sapiens	B	None
MT427034	None	2012-02-XX	USA	Homo sapiens	B	None
MT427035	None	2012-02-XX	USA	Homo sapiens	B	None
MT427036	None	2012-02-XX	USA	Homo sapiens	B	None
MT427037	None	2012-02-XX	USA	Homo sapiens	B	None
MT427038	None	2012-02-XX	USA	Homo sapiens	B	None
MT427039	None	2012-02-XX	USA	Homo sapiens	B	None
MT427040	None	2012-02-XX	USA	Homo sapiens	B	None
MT427041	None	2012-02-XX	USA	Homo sapiens	B	None
MT427042	None	2012-02-XX	USA	Homo sapiens	B	None
MT427043	None	2012-02-XX	USA	Homo sapiens	B	None
MT427044	None	2012-02-XX	USA	Homo sapiens	B	None
MT427045	None	2012-02-XX	USA	Homo sapiens	B	None
MT427046	None	2012-02-XX	USA	Homo sapiens	B	None
MT427047	None	2012-02-XX	USA	Homo sapiens	B	None
MT427048	None	2012-02-XX	USA	Homo sapiens	B	None
MT427049	None	2012-02-XX	USA	Homo sapiens	B	None
MT427050	None	2012-02-XX	USA	Homo sapiens	B	None
MT427051	None	2012-02-XX	USA	Homo sapiens	B	None
MT427052	None	2012-02-XX	USA	Homo sapiens	B	None
MT427053	None	2012-02-XX	USA	Homo sapiens	B	None
MT427054	None	2012-02-XX	USA	Homo sapiens	B	None
MT427055	None	2012-02-XX	USA	Homo sapiens	B	None
MT427056	None	2012-02-XX	USA	Homo sapiens	B	None
MT427057	None	2012-02-XX	USA	Homo sapiens	B	None
MT427058	None	2012-02-XX	USA	Homo sapiens	B	None
MT427059	None	2012-02-XX	USA	Homo sapiens	B	None
MT427060	None	2012-02-XX	USA	Homo sapiens	B	None
MT427061	None	2012-02-XX	USA	Homo sapiens	B	None
MT427062	None	2012-02-XX	USA	Homo sapiens	B	None
MT427063	None	2012-02-XX	USA	Homo sapiens	B	None
MT427064	None	2012-02-XX	USA	Homo sapiens	B	None
MT427065	None	2012-02-XX	USA	Homo sapiens	B	None
MT427066	None	2012-02-XX	USA	Homo sapiens	B	None
MT427067	None	2012-02-XX	USA	Homo sapiens	B	None
MT427068	None	2012-02-XX	USA	Homo sapiens	B	None
MT427069	None	2012-02-XX	USA	Homo sapiens	B	None
MT427070	None	2012-02-XX	USA	Homo sapiens	B	None
MT427071	None	2012-02-XX	USA	Homo sapiens	B	None
MT427072	None	2012-02-XX	USA	Homo sapiens	B	None
MT427073	None	2012-02-XX	USA	Homo sapiens	B	None
MT427074	None	2012-02-XX	USA	Homo sapiens	B	None
MT427075	None	2012-02-XX	USA	Homo sapiens	B	None
MT427076	None	2012-02-XX	USA	Homo sapiens	B	None
MT427077	None	2012-02-XX	USA	Homo sapiens	B	None
MT427078	None	2012-02-XX	USA	Homo sapiens	B	None
MT427079	None	2012-02-XX	USA	Homo sapiens	B	None
MT427080	None	2012-02-XX	USA	Homo sapiens	B	None
MT427081	None	2012-02-XX	USA	Homo sapiens	B	None
MT427082	None	2012-02-XX	USA	Homo sapiens	B	None
MT427083	None	2012-02-XX	USA	Homo sapiens	B	None
MT427084	None	2012-02-XX	USA	Homo sapiens	B	None
MT427085	None	2012-02-XX	USA	Homo sapiens	B	None
MT427086	None	2012-02-XX	USA	Homo sapiens	B	None
MT427087	None	2012-02-XX	USA	Homo sapiens	B	None
MT427088	None	2012-02-XX	USA	Homo sapiens	B	None
MT427089	None	2012-02-XX	USA	Homo sapiens	B	None
MT427090	None	2012-02-XX	USA	Homo sapiens	B	None
MT427091	None	2012-02-XX	USA	Homo sapiens	B	None
MT427092	None	2012-02-XX	USA	Homo sapiens	B	None
MT427093	None	2012-02-XX	USA	Homo sapiens	B	None
MT427094	None	2012-02-XX	USA	Homo sapiens	B	None
MT427095	None	2012-02-XX	USA	Homo sapiens	B	None
MT427096	None	2012-02-XX	USA	Homo sapiens	B	None
MT427097	None	2012-02-XX	USA	Homo sapiens	B	None
MT427098	None	2012-02-XX	USA	Homo sapiens	B	None
MT427099	None	2012-02-XX	USA	Homo sapiens	B	None
MT427100	None	2012-02-XX	USA	Homo sapiens	B	None
MT427101	None	2012-02-XX	USA	Homo sapiens	B	None
MT427102	None	2012-02-XX	USA	Homo sapiens	B	None
MT427103	None	2012-02-XX	USA	Homo sapiens	B	None
MT427104	None	2012-02-XX	USA	Homo sapiens	B	None
MT427105	None	2012-02-XX	USA	Homo sapiens	B	None
MT427106	None	2012-02-XX	USA	Homo sapiens	B	None
MT427107	None	2012-02-XX	USA	Homo sapiens	B	None
MT427108	None	2012-02-XX	USA	Homo sapiens	B	None
MT427109	None	2012-02-XX	USA	Homo sapiens	B	None
MT111595	None	2005-08-10	Thailand	Homo sapiens	B	B2
MT622522	None	2020-08-04	USA	Homo sapiens	B	None
LC461174	None	2017-07-01	Japan:Tochigi	Homo sapiens	B	B1
LC461175	None	2017-07-07	Japan:Tochigi	Homo sapiens	B	B1
LC456112	None	2010-XX-XX	Cambodia	Homo sapiens	B	B4
LC456127	None	2011-XX-XX	Cambodia	Homo sapiens	B	B2
MH932712	None	2018-09-01	Japan	Homo sapiens	B	None
MK052962	None	2011-01-18	China	Homo sapiens	B	B2
MK052964	None	2011-01-18	China	Homo sapiens	B	B2
MK052965	None	2011-01-18	China	Homo sapiens	B	B2
MH663473	None	2011-07-05	China	Homo sapiens	B	B2
LC416036	None	2012-XX-XX	Indonesia: West Nusa Tenggara, Lombok Island	None	B	B7
LC416037	None	2012-XX-XX	Indonesia: West Nusa Tenggara, Lombok Island	None	B	B7
LC416038	None	2012-XX-XX	Indonesia: West Nusa Tenggara, Lombok Island	None	B	B7
LC416039	None	2012-XX-XX	Indonesia: West Nusa Tenggara, Lombok Island	None	B	B3
MH094410	None	2019-01-02	China	Homo sapiens	B	None
MG372436	None	2011-06-10	China	Homo sapiens	B	B2
MH061283	None	2015-08-20	Taiwan	None	B	None
KT749820	None	2008-XX-XX	Belgium	Homo sapiens	B	None
KY417926	None	2010-XX-XX	China	None	B	BC
LC365289	B-1	2012-09-19	Japan:Tokyo	Homo sapiens	B	None
KX765841	None	1999-11-29	Thailand	Homo sapiens	B	None
KX765854	None	2002-10-23	Thailand	Homo sapiens	B	None
KX765856	None	2002-07-29	Thailand	Homo sapiens	B	None
KX774505	None	2001-10-16	Thailand	Homo sapiens	B	None
MF674382	None	2016-06-01	Viet Nam	Homo sapiens; male	B	None
MF674383	None	2016-06-03	Viet Nam	Homo sapiens; male	B	None
MF674384	None	2016-06-06	Viet Nam	Homo sapiens; female	B	None
MF674385	None	2016-06-15	Viet Nam	Homo sapiens; male	B	None
MF674387	None	2016-06-20	Viet Nam	Homo sapiens; female	B	None
MF674389	None	2016-06-27	Viet Nam	Homo sapiens; female	B	None
MF674391	None	2016-06-29	Viet Nam	Homo sapiens; female	B	None
MF674392	None	2016-06-30	Viet Nam	Homo sapiens; female	B	None
MF674393	None	2016-06-08	Viet Nam	Homo sapiens; female	B	None
MF674394	None	2016-06-08	Viet Nam	Homo sapiens; male	B	None
MF674395	None	2016-07-05	Viet Nam	Homo sapiens; male	B	None
MF674396	None	2016-07-06	Viet Nam	Homo sapiens; male	B	None
MF674397	None	2016-07-08	Viet Nam	Homo sapiens; male	B	None
MF674400	None	2016-07-14	Viet Nam	Homo sapiens; female	B	None
MF674401	None	2016-07-21	Viet Nam	Homo sapiens; male	B	None
MF674404	None	2016-07-27	Viet Nam	Homo sapiens; male	B	None
MF674405	None	2016-07-29	Viet Nam	Homo sapiens; female	B	None
MF674406	None	2016-07-04	Viet Nam	Homo sapiens; male	B	None
MF674407	None	2016-07-06	Viet Nam	Homo sapiens; female	B	None
MF674409	None	2016-08-05	Viet Nam	Homo sapiens; female	B	None
MF674410	None	2016-08-09	Viet Nam	Homo sapiens; male	B	None
MF674413	None	2016-08-18	Viet Nam	Homo sapiens; female	B	None
MF674414	None	2016-08-22	Viet Nam	Homo sapiens; female	B	None
MF674415	None	2016-08-23	Viet Nam	Homo sapiens; male	B	None
MF674416	None	2016-08-25	Viet Nam	Homo sapiens; female	B	None
MF674419	None	2016-08-18	Viet Nam	Homo sapiens; male	B	None
MF674420	None	2016-08-15	Viet Nam	Homo sapiens; female	B	None
MF674421	None	2016-09-02	Viet Nam	Homo sapiens; male	B	None
MF674422	None	2016-09-13	Viet Nam	Homo sapiens; male	B	None
MF674423	None	2016-09-15	Viet Nam	Homo sapiens; female	B	None
MF674424	None	2016-09-16	Viet Nam	Homo sapiens; female	B	None
MF674426	None	2016-09-22	Viet Nam	Homo sapiens; male	B	None
MF674427	None	2016-09-22	Viet Nam	Homo sapiens; male	B	None
MF674431	None	2016-09-07	Viet Nam	Homo sapiens; male	B	None
MF674432	None	2016-09-29	Viet Nam	Homo sapiens; male	B	None
MF674433	None	2016-09-15	Viet Nam	Homo sapiens; female	B	None
MF674434	None	2016-10-05	Viet Nam	Homo sapiens; male	B	None
MF674436	None	2016-10-11	Viet Nam	Homo sapiens; female	B	None
MF674437	None	2016-10-13	Viet Nam	Homo sapiens; male	B	None
MF674438	None	2016-10-24	Viet Nam	Homo sapiens; female	B	None
MF674439	None	2016-10-25	Viet Nam	Homo sapiens; male	B	None
MF674440	None	2016-10-14	Viet Nam	Homo sapiens; male	B	None
MF674441	None	2016-10-27	Viet Nam	Homo sapiens; female	B	None
MF674443	None	2016-10-12	Viet Nam	Homo sapiens; male	B	None
MF674445	None	2016-10-03	Viet Nam	Homo sapiens; female	B	None
MF674446	None	2016-10-07	Viet Nam	Homo sapiens; male	B	None
MF674447	None	2016-11-08	Viet Nam	Homo sapiens; female	B	None
MF674448	None	2016-11-06	Viet Nam	Homo sapiens; female	B	None
MF674449	None	2016-11-16	Viet Nam	Homo sapiens; male	B	None
MF674450	None	2016-11-15	Viet Nam	Homo sapiens; female	B	None
MF674451	None	2016-11-18	Viet Nam	Homo sapiens; female	B	None
MF674452	None	2016-11-22	Viet Nam	Homo sapiens; male	B	None
MF674453	None	2016-11-21	Viet Nam	Homo sapiens; male	B	None
MF674455	None	2016-11-30	Viet Nam	Homo sapiens; male	B	None
MF674456	None	2016-11-17	Viet Nam	Homo sapiens; male	B	None
MF674459	None	2016-11-01	Viet Nam	Homo sapiens; male	B	None
MF674460	None	2016-11-02	Viet Nam	Homo sapiens; male	B	None
MF674461	None	2016-12-14	Viet Nam	Homo sapiens; female	B	None
MF674462	None	2016-12-06	Viet Nam	Homo sapiens; female	B	None
MF674464	None	2016-12-02	Viet Nam	Homo sapiens; male	B	None
MF674465	None	2016-12-27	Viet Nam	Homo sapiens; female	B	None
MF674466	None	2016-12-30	Viet Nam	Homo sapiens; female	B	None
MF674469	None	2016-12-06	Viet Nam	Homo sapiens; male	B	None
MF674470	None	2016-12-15	Viet Nam	Homo sapiens; male	B	None
MF674473	None	2016-12-02	Viet Nam	Homo sapiens; male	B	None
MF674476	None	2012-06-19	Viet Nam	Homo sapiens; male	B	None
MF674477	None	2012-07-04	Viet Nam	Homo sapiens; male	B	None
MF674478	None	2012-07-12	Viet Nam	Homo sapiens; female	B	None
MF674479	None	2012-07-19	Viet Nam	Homo sapiens; female	B	None
MF674480	None	2012-08-07	Viet Nam	Homo sapiens; male	B	None
MF674481	None	2012-08-13	Viet Nam	Homo sapiens; female	B	None
MF674482	None	2012-08-15	Viet Nam	Homo sapiens; female	B	None
MF674483	None	2012-09-04	Viet Nam	Homo sapiens; female	B	None
MF674485	None	2012-09-26	Viet Nam	Homo sapiens; female	B	None
MF674487	None	2012-10-24	Viet Nam	Homo sapiens; male	B	None
MF674488	None	2012-11-06	Viet Nam	Homo sapiens; male	B	None
MF674490	None	2012-12-14	Viet Nam	Homo sapiens; male	B	None
MF674491	None	2012-12-27	Viet Nam	Homo sapiens; male	B	None
MF674492	None	2014-01-09	Viet Nam	Homo sapiens; male	B	None
MF674493	None	2014-01-14	Viet Nam	Homo sapiens; female	B	None
MF674495	None	2014-01-29	Viet Nam	Homo sapiens; male	B	None
MF674496	None	2014-02-04	Viet Nam	Homo sapiens; male	B	None
MF674497	None	2014-02-10	Viet Nam	Homo sapiens; female	B	None
MF674498	None	2014-02-12	Viet Nam	Homo sapiens; female	B	None
MF674499	None	2014-02-25	Viet Nam	Homo sapiens; male	B	None
MF674500	None	2014-03-04	Viet Nam	Homo sapiens; female	B	None
MF674503	None	2014-03-19	Viet Nam	Homo sapiens; female	B	None
MF674505	None	2014-04-25	Viet Nam	Homo sapiens; male	B	None
MF674506	None	2014-04-07	Viet Nam	Homo sapiens; male	B	None
MF674507	None	2014-04-15	Viet Nam	Homo sapiens; female	B	None
MF674508	None	2014-05-23	Viet Nam	Homo sapiens; male	B	None
MF674509	None	2014-05-24	Viet Nam	Homo sapiens; female	B	None
MF674510	None	2014-05-25	Viet Nam	Homo sapiens; female	B	None
MF674511	None	2014-05-29	Viet Nam	Homo sapiens; male	B	None
MF674512	None	2014-06-04	Viet Nam	Homo sapiens; female	B	None
MF674513	None	2014-06-10	Viet Nam	Homo sapiens; female	B	None
MF674515	None	2014-06-19	Viet Nam	Homo sapiens; male	B	None
KY629635	None	2017-01-13	China	Homo sapiens	B	None
KY629636	None	2017-01-13	China	Homo sapiens	B	None
LC057377	None	2012-03-14	Viet Nam	Homo sapiens	B	None
LC057378	None	2012-03-14	Viet Nam	Homo sapiens	B	None
LC060789	None	2013-06-15	Viet Nam	None	B	None
LC060790	None	2013-06-15	Viet Nam	None	B	None
LC063767	None	2012-08-15	Viet Nam	Homo sapiens	B	None
LC064366	None	2013-06-15	Viet Nam	Homo sapiens	B	None
LC064367	None	2013-06-15	Viet Nam	Homo sapiens	B	None
LC064368	None	2013-06-15	Viet Nam	Homo sapiens	B	None
LC064369	None	2013-06-15	Viet Nam	Homo sapiens	B	None
LC064370	None	2013-06-15	Viet Nam	Homo sapiens	B	None
LC064371	None	2013-06-15	Viet Nam	Homo sapiens	B	None
LC064372	None	2013-06-15	Viet Nam	Homo sapiens	B	None
LC064373	None	2013-06-15	Viet Nam	Homo sapiens	B	None
LC064374	None	2013-06-15	Viet Nam	Homo sapiens	B	None
LC064375	None	2012-03-15	Viet Nam	Homo sapiens	B	None
LC064376	None	2012-03-15	Viet Nam	Homo sapiens	B	None
LC064377	None	2012-03-15	Viet Nam	Homo sapiens	B	None
LC064378	None	2012-03-15	Viet Nam	Homo sapiens	B	None
LC064380	None	2012-08-15	Viet Nam	Homo sapiens	B	None
LC064381	None	2012-08-15	Viet Nam	Homo sapiens	B	None
KY470830	None	2015-12-30	China	Homo sapiens	B	None
KY470831	None	2015-12-30	China	Homo sapiens	B	None
KY470832	None	2015-12-30	China	Homo sapiens	B	None
KY470833	None	2015-12-30	China	Homo sapiens	B	None
KY470834	None	2015-12-30	China	Homo sapiens	B	None
KY470835	None	2015-12-30	China	Homo sapiens	B	None
KY470836	None	2015-12-30	China	Homo sapiens	B	None
KY470837	None	2015-12-30	China	Homo sapiens	B	None
KY470838	None	2015-12-30	China	Homo sapiens	B	None
KY470839	None	2015-12-30	China	Homo sapiens	B	None
KY470840	None	2015-12-30	China	Homo sapiens	B	None
KY470841	None	2015-12-30	China	Homo sapiens	B	None
KY470842	None	2015-12-30	China	Homo sapiens	B	None
KY470953	None	2016-01-05	China	Homo sapiens	B	None
KY470954	None	2016-01-05	China	Homo sapiens	B	None
KY470955	None	2016-01-05	China	Homo sapiens	B	None
KY470956	None	2016-01-05	China	Homo sapiens	B	None
KY470957	None	2016-01-05	China	Homo sapiens	B	None
KY470958	None	2016-01-05	China	Homo sapiens	B	None
KY470959	None	2016-01-05	China	Homo sapiens	B	None
KY470960	None	2016-01-05	China	Homo sapiens	B	None
KY470961	None	2016-01-05	China	Homo sapiens	B	None
KY470962	None	2016-01-05	China	Homo sapiens	B	None
KY470963	None	2016-01-05	China	Homo sapiens	B	None
KY470964	None	2016-01-05	China	Homo sapiens	B	None
KP659219	None	2006-02-07	USA	Homo sapiens	B	B6
KP659220	None	2005-10-26	USA	Homo sapiens	B	B6
KP659221	None	2005-01-25	USA	Homo sapiens	B	B6
KP659222	None	2003-12-05	USA	Homo sapiens	B	B6
KP659223	None	2003-09-15	USA	Homo sapiens	B	B6
KP659224	None	2008-12-10	USA	Homo sapiens	B	B6
KP659225	None	2008-08-01	USA	Homo sapiens	B	B6
KP659226	None	2003-06-18	USA	Homo sapiens	B	B6
KP659230	None	1998-11-XX	Greenland	Homo sapiens	B	B6
KP659231	None	1998-11-XX	Greenland	Homo sapiens	B	B6
KP659232	None	1998-11-XX	Greenland	Homo sapiens	B	B6
KP659233	None	1998-11-XX	Greenland	Homo sapiens	B	B6
KP659234	None	1983-10-08	Canada	Homo sapiens	B	B6
KP659235	None	1983-10-08	Canada	Homo sapiens	B	B6
KP659236	None	1984-04-21	Canada	Homo sapiens	B	B6
KP659237	None	1983-10-23	Canada	Homo sapiens	B	B6
KP659238	None	1984-03-06	Canada	Homo sapiens	B	B6
KP659239	None	1984-03-16	Canada	Homo sapiens	B	B6
KP659240	None	2012-05-01	Canada	Homo sapiens	B	B6
KP659241	None	2012-04-28	Canada	Homo sapiens	B	B6
KP659242	None	2012-04-27	Canada	Homo sapiens	B	B6
KP659243	None	1983-09-14	Canada	Homo sapiens	B	B6
KP659244	None	1983-04-26	Canada	Homo sapiens	B	B6
KP659245	None	2012-05-09	Canada	Homo sapiens	B	B6
KP659246	None	1983-10-23	Canada	Homo sapiens	B	B6
KP659247	None	1983-05-05	Canada	Homo sapiens	B	B6
KP659248	None	2013-04-29	Canada	Homo sapiens	B	B6
KP659249	None	2013-05-01	Canada	Homo sapiens	B	B6
KP659250	None	2013-06-17	Canada	Homo sapiens	B	B6
KP659251	None	2013-04-10	Canada	Homo sapiens	B	B6
KP659252	None	2013-05-22	Canada	Homo sapiens	B	B6
KP659253	None	2013-05-22	Canada	Homo sapiens	B	B6
KP659254	None	2013-05-27	Canada	Homo sapiens	B	B6
KP659255	None	2013-06-17	Canada	Homo sapiens	B	B6
KP148314	None	2013-11-08	China	Homo sapiens	B	None
KP148316	None	2012-10-26	China	Homo sapiens	B	None
KP148317	None	2011-10-23	China	Homo sapiens	B	None
KP148318	None	2011-10-23	China	Homo sapiens	B	None
KP148319	None	2013-11-08	China	Homo sapiens	B	None
KP148320	None	2013-11-08	China	Homo sapiens	B	None
KP148321	None	2013-11-08	China	Homo sapiens	B	None
KP148322	None	2013-11-08	China	Homo sapiens	B	None
KP148323	None	2013-11-08	China	Homo sapiens	B	None
KP148324	None	2013-11-08	China	Homo sapiens	B	None
KP148325	None	2013-11-08	China	Homo sapiens	B	None
KP148326	None	2013-11-08	China	Homo sapiens	B	None
KP148327	None	2013-11-08	China	Homo sapiens	B	None
KP148328	None	2013-11-08	China	Homo sapiens	B	None
KP148329	None	2013-11-08	China	Homo sapiens	B	None
KP148330	None	2013-11-08	China	Homo sapiens	B	None
KP148331	None	2013-11-08	China	Homo sapiens	B	None
KP148332	None	2013-11-08	China	Homo sapiens	B	None
KP148333	None	2013-11-08	China	Homo sapiens	B	None
KP148334	None	2013-11-08	China	Homo sapiens	B	None
KP148335	None	2013-11-08	China	Homo sapiens	B	None
KP148336	None	2011-10-23	China	Homo sapiens	B	None
KP148337	None	2011-10-23	China	Homo sapiens	B	None
KP148338	None	2011-10-23	China	Homo sapiens	B	None
KP148339	None	2011-10-23	China	Homo sapiens	B	None
KP148340	None	2011-10-23	China	Homo sapiens	B	None
KP148341	None	2011-10-23	China	Homo sapiens	B	None
KP148342	None	2011-10-23	China	Homo sapiens	B	None
KP148343	None	2011-10-23	China	Homo sapiens	B	None
KP148344	None	2011-10-23	China	Homo sapiens	B	None
KP148345	None	2011-10-23	China	Homo sapiens	B	None
KP148346	None	2011-10-23	China	Homo sapiens	B	None
KP148347	None	2011-10-23	China	Homo sapiens	B	None
KP148348	None	2011-10-23	China	Homo sapiens	B	None
KP148349	None	2011-10-23	China	Homo sapiens	B	None
KP148356	None	2013-11-08	China	Homo sapiens	B	None
KP148357	None	2013-11-08	China	Homo sapiens	B	None
KP148358	None	2013-11-08	China	Homo sapiens	B	None
KP148359	None	2013-11-08	China	Homo sapiens	B	None
KP148360	None	2013-11-08	China	Homo sapiens	B	None
KP148361	None	2013-11-08	China	Homo sapiens	B	None
KP148362	None	2013-11-08	China	Homo sapiens	B	None
KP148363	None	2013-11-08	China	Homo sapiens	B	None
KP148364	None	2013-11-08	China	Homo sapiens	B	None
KP148365	None	2013-11-08	China	Homo sapiens	B	None
KP148366	None	2013-11-08	China	Homo sapiens	B	None
KP148367	None	2011-10-23	China	Homo sapiens	B	None
KP148368	None	2011-10-23	China	Homo sapiens	B	None
KP148369	None	2011-10-23	China	Homo sapiens	B	None
KP148370	None	2011-10-23	China	Homo sapiens	B	None
KP148371	None	2011-10-23	China	Homo sapiens	B	None
KP148372	None	2011-10-23	China	Homo sapiens	B	None
KP148373	None	2011-10-23	China	Homo sapiens	B	None
KP148374	None	2011-10-23	China	Homo sapiens	B	None
KP148375	None	2013-11-08	China	Homo sapiens	B	None
KP148376	None	2013-11-08	China	Homo sapiens	B	None
KP148377	None	2013-11-08	China	Homo sapiens	B	None
KP148378	None	2013-11-08	China	Homo sapiens	B	None
KP148379	None	2013-11-08	China	Homo sapiens	B	None
KP148380	None	2013-11-08	China	Homo sapiens	B	None
KP148381	None	2013-11-08	China	Homo sapiens	B	None
KP148382	None	2013-11-08	China	Homo sapiens	B	None
KP148383	None	2013-11-08	China	Homo sapiens	B	None
KP148384	None	2013-11-08	China	Homo sapiens	B	None
KP148385	None	2013-11-08	China	Homo sapiens	B	None
KP148386	None	2013-11-08	China	Homo sapiens	B	None
KP148387	None	2013-11-08	China	Homo sapiens	B	None
KP148388	None	2013-11-08	China	Homo sapiens	B	None
KP148389	None	2013-11-08	China	Homo sapiens	B	None
KP148390	None	2013-11-08	China	Homo sapiens	B	None
KP148391	None	2013-11-08	China	Homo sapiens	B	None
KP148392	None	2013-11-08	China	Homo sapiens	B	None
KP148393	None	2013-11-08	China	Homo sapiens	B	None
KP148394	None	2013-11-08	China	Homo sapiens	B	None
KP148395	None	2013-11-08	China	Homo sapiens	B	None
KP148396	None	2013-11-08	China	Homo sapiens	B	None
KP148397	None	2013-11-08	China	Homo sapiens	B	None
KP148398	None	2013-11-08	China	Homo sapiens	B	None
KP148399	None	2013-11-08	China	Homo sapiens	B	None
KP148400	None	2013-11-08	China	Homo sapiens	B	None
KP148401	None	2013-11-08	China	Homo sapiens	B	None
KP148402	None	2013-11-08	China	Homo sapiens	B	None
KP148403	None	2013-11-08	China	Homo sapiens	B	None
KP148404	None	2012-10-26	China	Homo sapiens	B	None
KP148405	None	2012-10-26	China	Homo sapiens	B	None
KP148406	None	2012-10-26	China	Homo sapiens	B	None
KP148407	None	2012-10-26	China	Homo sapiens	B	None
KP148408	None	2012-10-26	China	Homo sapiens	B	None
KP148409	None	2012-10-26	China	Homo sapiens	B	None
KP148410	None	2012-10-26	China	Homo sapiens	B	None
KP148411	None	2012-10-26	China	Homo sapiens	B	None
KP148412	None	2012-10-26	China	Homo sapiens	B	None
KP148413	None	2012-10-26	China	Homo sapiens	B	None
KP148414	None	2012-10-26	China	Homo sapiens	B	None
KP148415	None	2012-10-26	China	Homo sapiens	B	None
KP148416	None	2012-10-26	China	Homo sapiens	B	None
KP148417	None	2012-10-26	China	Homo sapiens	B	None
KP148418	None	2012-10-26	China	Homo sapiens	B	None
KP148419	None	2012-10-26	China	Homo sapiens	B	None
KP148420	None	2012-10-26	China	Homo sapiens	B	None
KP148421	None	2012-10-26	China	Homo sapiens	B	None
KP148422	None	2012-10-26	China	Homo sapiens	B	None
KP148423	None	2012-10-26	China	Homo sapiens	B	None
KP148424	None	2012-10-26	China	Homo sapiens	B	None
KP148425	None	2012-10-26	China	Homo sapiens	B	None
KP148426	None	2012-10-26	China	Homo sapiens	B	None
KP148427	None	2012-10-26	China	Homo sapiens	B	None
KP148428	None	2012-10-26	China	Homo sapiens	B	None
KP148429	None	2012-10-26	China	Homo sapiens	B	None
KP148430	None	2012-10-26	China	Homo sapiens	B	None
KP148431	None	2012-10-26	China	Homo sapiens	B	None
KP148432	None	2012-10-26	China	Homo sapiens	B	None
KP148433	None	2011-10-23	China	Homo sapiens	B	None
KP148434	None	2011-10-23	China	Homo sapiens	B	None
KP148435	None	2011-10-23	China	Homo sapiens	B	None
KP148436	None	2011-10-23	China	Homo sapiens	B	None
KP148437	None	2011-10-23	China	Homo sapiens	B	None
KP148438	None	2011-10-23	China	Homo sapiens	B	None
KP148439	None	2011-10-23	China	Homo sapiens	B	None
KP148440	None	2011-10-23	China	Homo sapiens	B	None
KP148451	None	2011-10-23	China	Homo sapiens	B	None
KP148452	None	2011-10-23	China	Homo sapiens	B	None
KP148453	None	2011-10-23	China	Homo sapiens	B	None
KP148454	None	2013-11-08	China	Homo sapiens	B	None
KP148455	None	2013-11-08	China	Homo sapiens	B	None
KP148456	None	2013-11-08	China	Homo sapiens	B	None
KP148457	None	2013-11-08	China	Homo sapiens	B	None
KP148458	None	2013-11-08	China	Homo sapiens	B	None
KP148459	None	2013-11-08	China	Homo sapiens	B	None
KP148460	None	2013-11-08	China	Homo sapiens	B	None
KP148461	None	2013-11-08	China	Homo sapiens	B	None
KP148579	None	2011-10-23	China	Homo sapiens	B	None
KP148580	None	2011-10-23	China	Homo sapiens	B	None
KP148581	None	2011-10-23	China	Homo sapiens	B	None
KP148582	None	2011-10-23	China	Homo sapiens	B	None
KP148583	None	2011-10-23	China	Homo sapiens	B	None
