virus,subtype,virus_and_subtype,gene,adaptive_subs_per_codon_per_year,lower_95ci,upper_95ci,ci,len_in_codons,adaptive_muts_per_year,lower_95ci_mutspergene,upper_95ci_mutspergene,legible_name,virus_family,color,rna_dna,genome_type,enveloped,transmission,cellular_receptor,fusion_protein_class,index,legible_gene_name
dengue,denv3_III,dengue_denv3_III,receptor_binding,0.03176174704377039,-0.0001068335658367902,0.1281931768446245,"[-0.0001068335658367902, 0.1281931768446245]",493,0.015658541292578803,-5.2668947957537565e-05,0.06319923618439988,Dengue 3-III,Flavivirus,#76def7,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,23,E (Receptor Binding)
dengue,denv4_I,dengue_denv4_I,receptor_binding,0.4061259877770878,0.1871819341848133,0.6295197691163875,"[0.1871819341848133, 0.6295197691163875]",495,0.20103236394965848,0.09265505742148258,0.31161228571261185,Dengue 4-I,Flavivirus,#adebfa,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,23,E (Receptor Binding)
dengue,denv4_II,dengue_denv4_II,receptor_binding,0.1246085081342652,0.01614604814647036,0.31034635198919375,"[0.01614604814647036, 0.31034635198919375]",495,0.06168121152646128,0.007992293832502828,0.1536214442346509,Dengue 4-II,Flavivirus,#adebfa,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,23,E (Receptor Binding)
rotavirusAg1p8,,rotavirusAg1p8,polymerase,0.11772800390423677,0.0006008732735441946,0.3155784052557804,"[0.0006008732735441946, 0.3155784052557804]",1089,0.12820579625171385,0.0006543509948896279,0.3436648833235449,Rotavirus A/P[8],Reovirus,#1a3da6,RNA,"Double-stranded RNA, segmented",False,Fecal-Oral,"Sialic acid, others",N/A,48,VP1 (Polymerase)
rotavirusAg1p8,,rotavirusAg1p8,receptor_binding,0.057332142098664,0.0,0.202510927636162,"[0.0, 0.202510927636162]",777,0.04454707441066193,0.0,0.15735099077329787,Rotavirus A/P[8],Reovirus,#1a3da6,RNA,"Double-stranded RNA, segmented",False,Fecal-Oral,"Sialic acid, others",N/A,50,VP4 (Receptor Binding)
rotavirusAg1p4,,rotavirusAg1p4,polymerase,0.11772800390423677,0.0006008732735441946,0.3155784052557804,"[0.0006008732735441946, 0.3155784052557804]",1089,0.12820579625171385,0.0006543509948896279,0.3436648833235449,Rotavirus A/P[4],Reovirus,#1f49c8,RNA,"Double-stranded RNA, segmented",False,Fecal-Oral,"Sialic acid, others",N/A,45,VP1 (Polymerase)
rotavirusAg1p4,,rotavirusAg1p4,receptor_binding,0.0,0.0,0.0,"[0.0, 0.0]",777,0.0,0.0,0.0,Rotavirus A/P[4],Reovirus,#1f49c8,RNA,"Double-stranded RNA, segmented",False,Fecal-Oral,"Sialic acid, others",N/A,47,VP4 (Receptor Binding)
enterovirusd68,,enterovirusd68,polymerase,0.3421578702666206,0.031200307260281307,0.735949789390216,"[0.031200307260281307, 0.735949789390216]",457,0.1563661467118456,0.014258540417948558,0.3363290537513287,Enterovirus D68,Picornavirus,#9779bd,RNA,Positive-sense RNA,False,Fecal-oral,Sialic acid,N/A,36,3D (Polymerase)
enterovirusd68,,enterovirusd68,receptor_binding,1.517049084058603,0.7582093757458963,2.327216254157004,"[0.7582093757458963, 2.327216254157004]",309,0.46876816697410834,0.23428669710548194,0.7191098225345142,Enterovirus D68,Picornavirus,#9779bd,RNA,Positive-sense RNA,False,Fecal-oral,Sialic acid,N/A,38,VP1 (Receptor Binding)
hepatitisA_IA,,hepatitisA_IA,polymerase,0.12829172758043003,0.039963304048335625,0.22720696453469635,"[0.039963304048335625, 0.22720696453469635]",489,0.06273465478683028,0.01954205567963612,0.11110420565746652,Hepatitis A-IA,Picornavirus,#b76ca9,RNA,Positive-sense RNA,Quasi-enveloped,"Fecal-oral, blood",HAVCR1,N/A,27,3D (Polymerase)
hepatitisA_IA,,hepatitisA_IA,receptor_binding,0.0,0.0,0.0,"[0.0, 0.0]",300,0.0,0.0,0.0,Hepatitis A-IA,Picornavirus,#b76ca9,RNA,Positive-sense RNA,Quasi-enveloped,"Fecal-oral, blood",HAVCR1,N/A,29,VP1 (Receptor Binding)
hepatitisA_IB,,hepatitisA_IB,polymerase,0.0,0.0,0.0,"[0.0, 0.0]",489,0.0,0.0,0.0,Hepatitis A-IB,Picornavirus,#ca93c0,RNA,Positive-sense RNA,Quasi-enveloped,"Fecal-oral, blood",HAVCR1,N/A,24,3D (Polymerase)
hepatitisA_IB,,hepatitisA_IB,receptor_binding,0.0,0.0,0.0,"[0.0, 0.0]",300,0.0,0.0,0.0,Hepatitis A-IB,Picornavirus,#ca93c0,RNA,Positive-sense RNA,Quasi-enveloped,"Fecal-oral, blood",HAVCR1,N/A,26,VP1 (Receptor Binding)
norovirus,,norovirus,polymerase,0.29096306116672627,0.040442609732098164,0.5874570070327857,"[0.040442609732098164, 0.5874570070327857]",510,0.1483911611950304,0.020625730963370063,0.2996030735867207,Norovirus GII.4,Caliciviridae,#5700bc,RNA,Positive-sense RNA,False,Fecal-oral,CD300lf (in mice),N/A,6,RdRp (Polymerase)
norovirus,,norovirus,receptor_binding,1.81000833263981,1.1967182413852349,2.309784031755586,"[1.1967182413852349, 2.309784031755586]",541,0.9792145079581372,0.647424568589412,1.2495931611797721,Norovirus GII.4,Caliciviridae,#5700bc,RNA,Positive-sense RNA,False,Fecal-oral,CD300lf (in mice),N/A,8,VP1 (Receptor Binding)
parvovirusB19,,parvovirusB19,receptor_binding,0.0556687749401867,0.0,0.14054869496976866,"[0.0, 0.14054869496976866]",782,0.043532982003225994,0.0,0.10990907946635908,Parvovirus B19-1A,Parvovirus,#BC0000,DNA,Single-stranded DNA,False,Respiratory,Erythrocyte P antigen (aka glycosphingolipid globoside),N/A,62,VP1 (Receptor Binding)
adenovirusB7,,adenovirusB7,polymerase,0.0,0.0,0.0,"[0.0, 0.0]",1194,0.0,0.0,0.0,Adenovirus B-7,Adenovirus,#ff6633,DNA,Double-stranded DNA,False,Respiratory,,N/A,63,Pol (Polymerase)
adenovirusB7,,adenovirusB7,receptor_binding,0.11953932485546871,0.0,0.35861797456640604,"[0.0, 0.35861797456640604]",326,0.0389698199028828,0.0,0.11690945970864837,Adenovirus B-7,Adenovirus,#ff6633,DNA,Double-stranded DNA,False,Respiratory,,N/A,65,Fiber (Receptor Binding)
adenovirusB3,,adenovirusB3,polymerase,0.07906818407338698,0.01923554323482249,0.14636891521857687,"[0.01923554323482249, 0.14636891521857687]",1194,0.09440741178362405,0.022967238622378053,0.17476448477098078,Adenovirus B-3,Adenovirus,#ff926e,DNA,Double-stranded DNA,False,Respiratory,,N/A,54,Pol (Polymerase)
adenovirusB3,,adenovirusB3,receptor_binding,0.0,0.0,0.0,"[0.0, 0.0]",326,0.0,0.0,0.0,Adenovirus B-3,Adenovirus,#ff926e,DNA,Double-stranded DNA,False,Respiratory,,N/A,56,Fiber (Receptor Binding)
hepatitisB,A2,hepatitisB_A2,polymerase,0.0020527412688526943,-0.031156250297574087,0.019259020660718888,"[-0.031156250297574087, 0.019259020660718888]",846,0.0017366191134493795,-0.02635818775174768,0.016293131478968177,Hepatitis B-A2,Hepadnavirus,#ffd8bc,DNA,"Partially-dsDNA, circular",True,Bodily fluids and blood-borne,Sodium Taurocholate Co-transporting Polypeptide (NTCP),Other,57,Polymerase (Polymerase)
hepatitisB,D3,hepatitisB_D3,polymerase,0.07140247031741166,-0.06607572137600344,0.17792699799705636,"[-0.06607572137600344, 0.17792699799705636]",833,0.059478257774403916,-0.055041075906210865,0.14821318933154795,Hepatitis B-D3,Hepadnavirus,#ffe9bc,DNA,"Partially-dsDNA, circular",True,Bodily fluids and blood-borne,Sodium Taurocholate Co-transporting Polypeptide (NTCP),Other,57,Polymerase (Polymerase)
hepatitisB,A2,hepatitisB_A2,membrane_fusion,0.0,0.0,0.0,"[0.0, 0.0]",401,0.0,0.0,0.0,Hepatitis B-A2,Hepadnavirus,#ffd8bc,DNA,"Partially-dsDNA, circular",True,Bodily fluids and blood-borne,Sodium Taurocholate Co-transporting Polypeptide (NTCP),Other,58,Large (Membrane Fusion)
hepatitisB,D3,hepatitisB_D3,membrane_fusion,0.054449863209019955,-0.05181721819670468,0.21882126472677146,"[-0.05181721819670468, 0.21882126472677146]",390,0.021235446651517782,-0.020208715096714826,0.08534029324344086,Hepatitis B-D3,Hepadnavirus,#ffe9bc,DNA,"Partially-dsDNA, circular",True,Bodily fluids and blood-borne,Sodium Taurocholate Co-transporting Polypeptide (NTCP),Other,58,Large (Membrane Fusion)
hepatitisB,A2,hepatitisB_A2,receptor_binding,0.0,0.0,0.0,"[0.0, 0.0]",401,0.0,0.0,0.0,Hepatitis B-A2,Hepadnavirus,#ffd8bc,DNA,"Partially-dsDNA, circular",True,Bodily fluids and blood-borne,Sodium Taurocholate Co-transporting Polypeptide (NTCP),Other,59,Large (Receptor Binding)
hepatitisB,D3,hepatitisB_D3,receptor_binding,0.054449863209019955,-0.05181721819670468,0.21882126472677146,"[-0.05181721819670468, 0.21882126472677146]",390,0.021235446651517782,-0.020208715096714826,0.08534029324344086,Hepatitis B-D3,Hepadnavirus,#ffe9bc,DNA,"Partially-dsDNA, circular",True,Bodily fluids and blood-borne,Sodium Taurocholate Co-transporting Polypeptide (NTCP),Other,59,Large (Receptor Binding)
